d1,Zx101,Zx102,Zx103,Zx104,Zx105,Zx106,Zx107,Zx108,Zx109,Zx110,Zx111,Zx112,Zx113,Zx114,Zx115,Zx116,Zx117,Zx118,Zx119,Zx120,Zx121,Zx122,Zx123,Zx124,Zx125,Zx126,Zx127,Zx128,Zx129,Zx130,Zx131,y3
2013年2月,-0.106012,-0.147262,0.270407,-0.744017,-0.126028,1.495747,-0.93096,0.450336,-0.230942,-0.03285,-0.317839,0.035843,-0.254773,-0.344291,-0.386205,0.183063,-0.552098,-0.548251,1.303678,-0.584813,-0.128328,-0.374324,-0.662809,-1.065155,-0.585007,-0.347277,0.584693,0.034654,0.202766,-0.528957,-0.397678,1508514
2013年3月,-0.096812,0.130785,0.339663,-0.837457,-0.292218,1.219825,-0.742887,0.782772,-0.048387,-0.375633,-0.275718,0.147562,-0.286405,0.154317,-0.224639,0.22913,-0.714855,-0.674831,0.994963,0.09965,-0.425286,-0.5733,-0.275927,-0.830791,-0.383428,-0.388234,0.289772,-0.375338,-0.781069,-0.62111,-0.610957,1431719
2013年4月,-0.255504,0.007209,0.936493,-0.557137,-0.126028,1.545204,-0.554815,0.465798,-0.198312,-0.324216,-0.098812,0.371,0.883994,-0.018507,-0.268137,0.373913,-0.465932,-0.548251,1.265088,-0.182188,0.16863,-0.647917,-0.049638,-0.704594,-0.353406,-0.531582,0.086136,-0.009274,-0.373138,-0.611895,-0.317698,1536092
2013年5月,-0.360532,-1.002002,0.480214,-0.105509,-0.624599,0.9413,-1.27576,0.844621,-0.118058,-0.255659,-0.192079,-0.383103,0.195989,0.08479,-0.622339,0.673351,-0.734003,-0.627363,0.994963,-0.765994,-0.361652,-0.722533,-0.232129,-0.458212,-0.396295,-0.388234,0.022938,-0.580334,-1.165005,-0.630325,-0.211058,1491121
2013年6月,-0.191874,-1.341838,-0.122727,0.283824,1.729766,1.261474,-1.150378,0.921932,-0.188611,-0.495607,-0.214343,-0.159665,-0.507832,1.517046,-0.82119,-0.040693,-0.743577,-0.453316,0.763427,-0.947176,-0.085906,-0.635481,0.585432,-0.223848,-0.246183,-0.265364,0.528518,-0.477836,-0.781069,-0.602679,-0.397678,1464608
2013年7月,0.074912,-0.991704,-0.32846,1.241585,2.643813,1.519174,-0.429433,0.504453,-0.029867,-0.289937,-0.133111,0.510649,0.765373,1.346208,-0.746621,0.308103,-0.58082,-0.35838,1.14932,-0.3835,0.16863,-0.399196,1.300799,-0.734641,0.581576,-0.306321,0.647891,0.093224,0.034794,-0.62111,-0.051098,1660124
2013年8月,-0.406529,0.058699,0.671688,-0.082149,3.114686,2.208978,-0.272705,0.69773,0.20913,0.241376,-0.142738,0.315141,-0.175692,0.311249,-0.230853,0.449595,-0.513802,-0.484961,1.14932,0.039256,0.741334,-0.399196,1.103708,0.100656,0.671643,-0.470147,0.711088,0.283578,0.682686,-0.584249,-0.317698,1881604
2013年9月,-0.523823,-0.971108,0.195039,-0.557137,2.8654,1.420259,-0.836924,0.427142,-0.054561,-0.204242,-0.225174,-0.103806,-0.325946,0.348992,-0.398633,0.864202,-0.676559,-0.722299,0.724837,-0.464025,-0.404075,-0.535992,1.05991,-0.151736,0.032596,-0.091299,0.53554,-0.126414,0.130778,-0.593464,-0.344358,1502667
2013年10月,-0.683282,-0.723954,-0.629931,-0.73623,2.671511,1.508762,-0.993651,0.365294,-0.066026,0.327072,-0.023597,-0.215525,4.11841,-0.163521,-1.138107,0.969498,-0.676559,-0.595718,0.724837,-0.464025,-0.170751,-0.523556,0.724126,-0.452202,-0.233316,-0.43943,0.697044,-0.141057,-0.109182,0.171404,-0.584297,1514441
2013年11月,-0.680215,-0.899021,0.606505,-1.13335,0.150956,1.381213,-1.338451,0.133361,-0.163036,-0.049989,-0.275718,-0.271384,0.551854,-0.529034,-0.379991,0.568054,-0.839316,-0.943814,0.53189,-0.101663,0.020151,-0.697661,0.227749,-0.247885,-0.353406,1.270506,-0.138566,-0.302125,-0.06119,0.521585,-0.584297,1546660
2013年12月,-0.570587,-1.743462,0.494473,-0.767377,0.289448,1.23284,-1.307105,0.156554,-0.136578,0.309933,-0.151764,-0.075876,-0.175692,-0.691926,-0.218425,0.551602,-0.542524,-0.35838,-0.008361,-0.202319,-0.170751,-0.747405,-0.013139,-0.458212,0.890377,0.604962,-0.243895,-0.199627,0.226762,0.411001,-0.237718,1620355
2014年1月,-0.156609,-1.640482,0.252074,-0.401403,0.871115,1.368198,-1.056342,0.403949,-0.092483,-0.135685,-0.360561,-0.187595,-0.120335,-0.493278,-0.672052,0.551602,-0.274453,-0.643186,0.030228,1.06595,-0.022272,-0.5733,-0.086136,-0.410137,-0.216161,0.430897,-0.1175,0.166437,0.802666,0.475508,-0.264378,1689257
2014年2月,0.56402,-1.177069,1.178892,0.494064,0.649528,1.329152,-0.366742,0.720923,0.120939,0.601299,0.51073,0.482719,0.354151,-0.050291,1.098959,1.555212,0.625498,-0.16851,-0.162719,1.367919,0.020151,-0.249964,0.578133,0.683562,-0.344828,1.833659,0.156355,0.927852,1.330577,0.669029,2.321637,1714759
2014年3月,0.148508,-1.691972,0.800017,-0.22231,-0.098329,-0.282125,0.260167,0.62815,-0.013993,0.189959,0.084712,0.231351,-0.01753,-0.084061,0.900108,1.331456,0.405297,0.084651,-0.239897,0.039256,-0.128328,-0.44894,0.381042,0.238871,0.234174,1.393376,0.015916,0.195722,0.154774,0.558446,1.868418,1769373
2014年4月,0.459759,-1.321242,0.545397,0.120304,-0.126028,-0.271713,0.949767,0.867814,-0.254754,0.224237,0.202048,0.39893,-0.041254,-0.113859,0.682616,1.212997,1.688207,0.100473,0.300354,0.482144,0.232264,-0.274836,0.125554,0.112675,0.663065,1.096441,0.177421,0.386076,0.53871,0.798043,1.815098,1743742
2014年5月,0.810107,-1.197665,0.669651,-0.066576,-0.181425,-0.487765,0.730349,0.635882,0.239115,0.138542,0.470415,0.119632,-0.159876,0.106641,0.837968,1.219578,0.769107,0.242876,-0.08554,0.160043,-0.085906,-0.32458,0.21315,0.389104,-0.211872,0.676636,0.198487,0.327506,0.682686,0.880981,2.881496,1699766
2014年6月,0.642216,-1.0123,-0.438456,0.314971,-0.292218,-0.677787,0.542276,0.674537,0.995792,0.241376,0.583538,0.203422,-0.254773,1.344222,-0.336492,1.183383,0.922291,0.670084,-0.510023,-0.202319,-0.170751,-0.063424,0.227749,0.665534,-0.066049,0.379701,0.219553,-0.287483,0.226762,0.880981,2.721536,1597267
2014年7月,1.243251,-0.270839,-0.259203,1.062492,0.206353,-0.146768,2.642422,1.177057,6.397483,0.635577,0.863338,1.376471,1.943681,5.575437,0.21656,1.301841,1.640337,1.01818,0.184586,0.42175,0.804968,0.235041,0.651129,0.286946,-0.301939,0.021332,0.388079,1.015707,1.402565,1.203515,1.788438,1871539
2014年8月,0.940434,0.625093,-0.191984,0.439558,0.926512,0.774706,1.733404,1.092015,0.531908,1.252587,0.762851,3.331553,0.109,0.424479,-0.044431,1.453206,1.286101,1.397921,-0.08554,0.844506,1.123137,0.272349,1.06721,0.599431,-0.096071,0.348984,1.00601,2.641033,2.50638,1.848585,0.455441,2131446
2014年9月,1.782956,-0.209051,0.01986,0.065797,0.178655,0.644555,0.260167,0.651344,1.079574,0.549881,0.974656,2.409871,0.599303,0.029168,0.272487,1.440043,0.922291,0.638439,-1.050274,0.522406,1.377673,0.023628,0.789823,0.377086,0.422886,0.502571,0.619803,2.172471,1.594533,1.820939,-0.291038,1595475
2014年10月,0.889836,-0.507695,-0.228649,-0.113296,0.150956,0.418091,0.824385,0.689999,1.111322,0.858386,1.037235,1.125103,0.006195,-0.20921,-0.268137,1.245903,0.903143,0.875777,-1.166042,1.206869,1.780687,-0.237528,0.870119,0.869851,0.062618,0.369462,0.654913,1.103562,0.250758,1.295668,-0.397678,1824691
